Region	Temperature	Incidence
NorthWest	2.1	0.08
NorthWest	2.9	0.22
NorthWest	10.7	0.02
NorthWest	30.7	0
NorthWest	6	0.28
NorthWest	10.8	0.1
NorthWest	32.7	0
NorthWest	8.6	0.03
NorthWest	-6	0.74
NorthWest	21.7	0
NorthWest	20.4	0.01
NorthWest	30.5	0
NorthWest	22.4	0
NorthWest	28.8	0
NorthWest	8.3	0.04
NorthWest	9.3	0.05
NorthWest	-2.2	0.23
NorthWest	14.2	0.02
NorthWest	23.6	0
NorthWest	6.6	0.03
NorthWest	37.3	0
NorthWest	26.6	0
NorthWest	34.4	0
NorthWest	16.5	0.01
NorthWest	19.4	0
NorthWest	4.8	0.07
NorthWest	20.5	0
NorthWest	20.3	0.01
NorthWest	33.4	0
NorthWest	9.8	0.04
NorthWest	36.4	0
NorthWest	3	0.04
NorthWest	24.4	0
NorthWest	28.2	0
NorthEast	-2.1	1.5
NorthEast	31.4	0.02
NorthEast	20	0.09
NorthEast	1	0.64
NorthEast	24.8	0.06
NorthEast	7.4	0.14
NorthEast	4.6	0.38
NorthEast	21.3	0.06
NorthEast	-1.2	0.93
NorthEast	4.9	0.28
NorthEast	23.1	0.04
NorthEast	8	0.17
NorthEast	30.4	0.02
NorthEast	-0.6	0.34
NorthEast	-0.1	0.99
NorthEast	12.8	0.09
NorthEast	26.4	0.04
NorthEast	0	0.49
NorthEast	31.8	0.02
NorthEast	11.9	0.07
NorthEast	12.1	0.13
NorthEast	31	0.02
NorthEast	25.7	0.04
NorthEast	6	0.33
NorthEast	20.7	0.05
NorthEast	21.2	0.04
NorthEast	24.9	0.05
NorthEast	33.7	0.01
NorthEast	24.3	0.03
NorthEast	-5.6	1.85
NorthEast	33.6	0.02
NorthEast	-5.2	0.41
NorthEast	24	0.04
NorthEast	37.2	0.02
UpperMidWest	2.4	0.43
UpperMidWest	24.1	0.05
UpperMidWest	29.4	0.02
UpperMidWest	5.3	0.44
UpperMidWest	-1.9	0.53
UpperMidWest	22.2	0.04
UpperMidWest	19.9	0.05
UpperMidWest	24.2	0.05
UpperMidWest	28.6	0.02
UpperMidWest	24.2	0.05
UpperMidWest	35.3	0.01
UpperMidWest	5.6	0.4
UpperMidWest	35	0.02
UpperMidWest	19.7	0.06
UpperMidWest	33.9	0.01
UpperMidWest	27.6	0.03
UpperMidWest	27.2	0.02
UpperMidWest	15.9	0.1
UpperMidWest	15	0.11
UpperMidWest	-0.6	0.57
UpperMidWest	9.3	0.17
UpperMidWest	33.7	0.02
UpperMidWest	25.4	0.05
UpperMidWest	10.8	0.24
UpperMidWest	3.8	0.34
UpperMidWest	32.6	0.01
UpperMidWest	3.1	0.44
UpperMidWest	29.1	0.03
UpperMidWest	29.5	0.02
UpperMidWest	9	0.26
UpperMidWest	11.9	0.13
UpperMidWest	34.4	0.01
UpperMidWest	5.1	0.28
UpperMidWest	3.6	0.39
UpperMidWest	14.6	0.15
UpperMidWest	26.5	0.03
UpperMidWest	27	0.04
UpperMidWest	34.7	0.01
UpperMidWest	25.9	0.02
UpperMidWest	3.7	0.29
UpperMidWest	26.2	0.03
UpperMidWest	30.7	0.02
UpperMidWest	36.6	0.01
